nr|query|ldeepquery|steps|costs|planningtime
68|SELECT * FROM complete_cast, comp_cast_type, comp_cast_type AS comp_cast_type2, company_name, company_type, info_type, info_type AS info_type2, keyword, kind_type, movie_companies, movie_info, movie_info_idx, movie_keyword, title WHERE kind_type.id = title.kind_id AND title.id = movie_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = movie_info_idx.movie_id AND title.id = movie_companies.movie_id AND title.id = complete_cast.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_info_idx.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = complete_cast.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_companies.movie_id AND movie_info.movie_id = complete_cast.movie_id AND movie_companies.movie_id = movie_info_idx.movie_id AND movie_companies.movie_id = complete_cast.movie_id AND movie_info_idx.movie_id = complete_cast.movie_id AND keyword.id = movie_keyword.keyword_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id AND company_type.id = movie_companies.company_type_id AND company_name.id = movie_companies.company_id AND comp_cast_type.id = complete_cast.subject_id AND comp_cast_type2.id = complete_cast.status_id  |(((((((((((comp_cast_type AS compcasttype info_type AS infotype) complete_cast AS completecast) movie_info AS movieinfo) title) kind_type AS kindtype) movie_companies AS moviecompanies) company_name AS companyname) company_type AS companytype) movie_keyword AS moviekeyword) keyword) movie_info_idx AS movieinfoidx)|187|43851104439.2|0.3778691291809082
69|SELECT * FROM aka_name, cast_info, company_name, keyword, movie_companies, movie_keyword, name, title WHERE aka_name.person_id = name.id AND name.id = cast_info.person_id AND cast_info.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND title.id = movie_companies.movie_id AND movie_companies.company_id = company_name.id AND aka_name.person_id = cast_info.person_id AND cast_info.movie_id = movie_companies.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND movie_companies.movie_id = movie_keyword.movie_id  |(((((((aka_name AS akaname name) cast_info AS castinfo) title) movie_companies AS moviecompanies) company_name AS companyname) movie_keyword AS moviekeyword) keyword)|77|4099780617.6|0.09307742118835449
70|SELECT * FROM char_name, cast_info, company_name, company_type, movie_companies, role_type, title WHERE title.id = movie_companies.movie_id AND title.id = cast_info.movie_id AND cast_info.movie_id = movie_companies.movie_id AND char_name.id = cast_info.person_role_id AND role_type.id = cast_info.role_id AND company_name.id = movie_companies.company_id AND company_type.id = movie_companies.company_type_id  |((((((company_type AS companytype role_type AS roletype) movie_companies AS moviecompanies) cast_info AS castinfo) char_name AS charname) company_name AS companyname) title)|57|7367744166.0|0.06351542472839355
71|SELECT * FROM cast_info, info_type, info_type AS info_type2, movie_info, movie_info_idx, name, title WHERE title.id = movie_info.movie_id AND title.id = movie_info_idx.movie_id AND title.id = cast_info.movie_id AND cast_info.movie_id = movie_info.movie_id AND cast_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND name.id = cast_info.person_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id  |(((((info_type AS infotype movie_info AS movieinfo) title) movie_info_idx AS movieinfoidx) cast_info AS castinfo) name)|40|5519910869.6|0.04251813888549805
72|SELECT * FROM complete_cast, comp_cast_type, comp_cast_type AS comp_cast_type2, cast_info, info_type, info_type AS info_type2, keyword, movie_info, movie_info_idx, movie_keyword, name, title WHERE title.id = movie_info.movie_id AND title.id = movie_info_idx.movie_id AND title.id = cast_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = complete_cast.movie_id AND cast_info.movie_id = movie_info.movie_id AND cast_info.movie_id = movie_info_idx.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND cast_info.movie_id = complete_cast.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_keyword.movie_id AND movie_info.movie_id = complete_cast.movie_id AND movie_info_idx.movie_id = movie_keyword.movie_id AND movie_info_idx.movie_id = complete_cast.movie_id AND movie_keyword.movie_id = complete_cast.movie_id AND name.id = cast_info.person_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id AND keyword.id = movie_keyword.keyword_id AND comp_cast_type.id = complete_cast.subject_id AND comp_cast_type2.id = complete_cast.status_id  |(((((((((comp_cast_type AS compcasttype info_type AS infotype) complete_cast AS completecast) movie_info AS movieinfo) title) movie_keyword AS moviekeyword) keyword) cast_info AS castinfo) name) movie_info_idx AS movieinfoidx)|126|259119156742.2|0.20734047889709473
73|SELECT * FROM company_name, company_name AS company_name2, info_type, info_type AS info_type2, kind_type, kind_type AS kind_type2, link_type, movie_companies, movie_companies AS movie_companies2, movie_info_idx, movie_info_idx AS movie_info_idx2, movie_link, title, title AS title2 WHERE title2.production_year = 2007 AND link_type.id = movie_link.link_type_id AND title.id = movie_link.movie_id AND title2.id = movie_link.linked_movie_id AND info_type.id = movie_info_idx.info_type_id AND title.id = movie_info_idx.movie_id AND kind_type.id = title.kind_id AND company_name.id = movie_companies.company_id AND title.id = movie_companies.movie_id AND movie_link.movie_id = movie_info_idx.movie_id AND movie_link.movie_id = movie_companies.movie_id AND movie_info_idx.movie_id = movie_companies.movie_id AND info_type2.id = movie_info_idx2.info_type_id AND title2.id = movie_info_idx2.movie_id AND kind_type2.id = title2.kind_id AND company_name2.id = movie_companies2.company_id AND title2.id = movie_companies2.movie_id AND movie_link.linked_movie_id = movie_info_idx2.movie_id AND movie_link.linked_movie_id = movie_companies2.movie_id AND movie_info_idx2.movie_id = movie_companies2.movie_id  |(((((((info_type AS infotype link_type AS linktype) kind_type AS kindtype) movie_link AS movielink) movie_info_idx AS movieinfoidx) title) movie_companies AS moviecompanies) company_name AS companyname)|77|655532272802.8|0.14148330688476562
74|SELECT * FROM cast_info, company_name, keyword, movie_companies, movie_keyword, name, title WHERE name.id = cast_info.person_id AND cast_info.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND title.id = movie_companies.movie_id AND movie_companies.company_id = company_name.id AND cast_info.movie_id = movie_companies.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND movie_companies.movie_id = movie_keyword.movie_id  |((((((company_name AS companyname movie_companies AS moviecompanies) title) movie_keyword AS moviekeyword) keyword) cast_info AS castinfo) name)|57|245013274.2|0.05939292907714844
75|SELECT * FROM info_type, info_type AS info_type2, keyword, kind_type, movie_info, movie_info_idx, movie_keyword, title WHERE kind_type.id = title.kind_id AND title.id = movie_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = movie_info_idx.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND keyword.id = movie_keyword.keyword_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id  |((((((info_type AS infotype kind_type AS kindtype) title) movie_info AS movieinfo) movie_keyword AS moviekeyword) keyword) movie_info_idx AS movieinfoidx)|57|1460080488.4|0.06360363960266113
76|SELECT * FROM company_type, info_type, movie_companies, movie_info, title WHERE title.id = movie_info.movie_id AND title.id = movie_companies.movie_id AND movie_companies.movie_id = movie_info.movie_id AND company_type.id = movie_companies.company_type_id AND info_type.id = movie_info.info_type_id  |((((company_type AS companytype info_type AS infotype) movie_companies AS moviecompanies) movie_info AS movieinfo) title)|26|1283187767.2|0.025721073150634766
77|SELECT * FROM aka_title, company_name, company_type, info_type, keyword, movie_companies, movie_info, movie_keyword, title WHERE title.id = aka_title.movie_id AND title.id = movie_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = movie_companies.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = aka_title.movie_id AND movie_info.movie_id = movie_companies.movie_id AND movie_info.movie_id = aka_title.movie_id AND movie_companies.movie_id = aka_title.movie_id AND keyword.id = movie_keyword.keyword_id AND info_type.id = movie_info.info_type_id AND company_name.id = movie_companies.company_id AND company_type.id = movie_companies.company_type_id  |((((((((company_type AS companytype info_type AS infotype) movie_companies AS moviecompanies) aka_title AS akatitle) company_name AS companyname) movie_info AS movieinfo) title) movie_keyword AS moviekeyword) keyword)|100|3423896806.2|0.13333702087402344
78|SELECT * FROM company_name, company_name AS company_name2, info_type, info_type AS info_type2, kind_type, kind_type AS kind_type2, link_type, movie_companies, movie_companies AS movie_companies2, movie_info_idx, movie_info_idx AS movie_info_idx2, movie_link, title, title AS title2 WHERE link_type.id = movie_link.link_type_id AND title.id = movie_link.movie_id AND title2.id = movie_link.linked_movie_id AND info_type.id = movie_info_idx.info_type_id AND title.id = movie_info_idx.movie_id AND kind_type.id = title.kind_id AND company_name.id = movie_companies.company_id AND title.id = movie_companies.movie_id AND movie_link.movie_id = movie_info_idx.movie_id AND movie_link.movie_id = movie_companies.movie_id AND movie_info_idx.movie_id = movie_companies.movie_id AND info_type2.id = movie_info_idx2.info_type_id AND title2.id = movie_info_idx2.movie_id AND kind_type2.id = title2.kind_id AND company_name2.id = movie_companies2.company_id AND title2.id = movie_companies2.movie_id AND movie_link.linked_movie_id = movie_info_idx2.movie_id AND movie_link.linked_movie_id = movie_companies2.movie_id AND movie_info_idx2.movie_id = movie_companies2.movie_id  |(((((((info_type AS infotype link_type AS linktype) kind_type AS kindtype) movie_link AS movielink) movie_info_idx AS movieinfoidx) title) movie_companies AS moviecompanies) company_name AS companyname)|77|655532272802.8|0.14286136627197266
79|SELECT * FROM aka_name, cast_info, company_name, movie_companies, name, role_type, title WHERE aka_name.person_id = name.id AND name.id = cast_info.person_id AND cast_info.movie_id = title.id AND title.id = movie_companies.movie_id AND movie_companies.company_id = company_name.id AND cast_info.role_id = role_type.id AND aka_name.person_id = cast_info.person_id AND cast_info.movie_id = movie_companies.movie_id  |((((((aka_name AS akaname name) cast_info AS castinfo) role_type AS roletype) title) movie_companies AS moviecompanies) company_name AS companyname)|57|1255262418.6|0.07170248031616211
80|SELECT * FROM complete_cast, comp_cast_type, company_name, company_type, info_type, keyword, kind_type, movie_companies, movie_info, movie_keyword, title WHERE kind_type.id = title.kind_id AND title.id = movie_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = movie_companies.movie_id AND title.id = complete_cast.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = complete_cast.movie_id AND movie_info.movie_id = movie_companies.movie_id AND movie_info.movie_id = complete_cast.movie_id AND movie_companies.movie_id = complete_cast.movie_id AND keyword.id = movie_keyword.keyword_id AND info_type.id = movie_info.info_type_id AND company_name.id = movie_companies.company_id AND company_type.id = movie_companies.company_type_id AND comp_cast_type.id = complete_cast.status_id  |((((((((((comp_cast_type AS compcasttype info_type AS infotype) complete_cast AS completecast) movie_info AS movieinfo) title) kind_type AS kindtype) movie_companies AS moviecompanies) company_name AS companyname) company_type AS companytype) movie_keyword AS moviekeyword) keyword)|155|1747535261.3999999|0.22350740432739258
81|SELECT * FROM cast_info, company_name, keyword, movie_companies, movie_keyword, name, title WHERE name.id = cast_info.person_id AND cast_info.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND title.id = movie_companies.movie_id AND movie_companies.company_id = company_name.id AND cast_info.movie_id = movie_companies.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND movie_companies.movie_id = movie_keyword.movie_id  |((((((company_name AS companyname movie_companies AS moviecompanies) title) movie_keyword AS moviekeyword) keyword) cast_info AS castinfo) name)|57|245013274.2|0.05943465232849121
82|SELECT * FROM cast_info, keyword, movie_keyword, name, title WHERE keyword.id = movie_keyword.keyword_id AND title.id = movie_keyword.movie_id AND title.id = cast_info.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND name.id = cast_info.person_id  |((((keyword movie_keyword AS moviekeyword) title) cast_info AS castinfo) name)|26|219818823.4|0.02435588836669922
83|SELECT * FROM aka_name, cast_info, info_type, link_type, movie_link, name, person_info, title WHERE name.id = aka_name.person_id AND name.id = person_info.person_id AND cast_info.person_id = name.id AND title.id = cast_info.movie_id AND movie_link.linked_movie_id = title.id AND link_type.id = movie_link.link_type_id AND info_type.id = person_info.info_type_id AND person_info.person_id = aka_name.person_id AND person_info.person_id = cast_info.person_id AND aka_name.person_id = cast_info.person_id AND cast_info.movie_id = movie_link.linked_movie_id  |(((((((info_type AS infotype link_type AS linktype) movie_link AS movielink) title) cast_info AS castinfo) name) person_info AS personinfo) aka_name AS akaname)|77|36763754468.2|0.09279537200927734
84|SELECT * FROM company_name, company_type, keyword, link_type, movie_companies, movie_keyword, movie_link, title WHERE link_type.id = movie_link.link_type_id AND movie_link.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND title.id = movie_companies.movie_id AND movie_companies.company_type_id = company_type.id AND movie_companies.company_id = company_name.id AND movie_link.movie_id = movie_keyword.movie_id AND movie_link.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = movie_companies.movie_id  |(((((((company_type AS companytype link_type AS linktype) movie_link AS movielink) movie_companies AS moviecompanies) company_name AS companyname) title) movie_keyword AS moviekeyword) keyword)|77|5610148600.0|0.08443427085876465
85|SELECT * FROM keyword, movie_info, movie_keyword, title WHERE title.id = movie_info.movie_id AND title.id = movie_keyword.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND keyword.id = movie_keyword.keyword_id  |(((keyword movie_keyword AS moviekeyword) title) movie_info AS movieinfo)|15|63043526.4|0.013692140579223633
86|SELECT * FROM aka_name, cast_info, company_name, movie_companies, name, role_type, title WHERE aka_name.person_id = name.id AND name.id = cast_info.person_id AND cast_info.movie_id = title.id AND title.id = movie_companies.movie_id AND movie_companies.company_id = company_name.id AND cast_info.role_id = role_type.id AND aka_name.person_id = cast_info.person_id AND cast_info.movie_id = movie_companies.movie_id  |((((((aka_name AS akaname name) cast_info AS castinfo) role_type AS roletype) title) movie_companies AS moviecompanies) company_name AS companyname)|57|1255262418.6|0.05859518051147461
87|SELECT * FROM aka_name, cast_info, company_name, movie_companies, name, role_type, title WHERE aka_name.person_id = name.id AND name.id = cast_info.person_id AND cast_info.movie_id = title.id AND title.id = movie_companies.movie_id AND movie_companies.company_id = company_name.id AND cast_info.role_id = role_type.id AND aka_name.person_id = cast_info.person_id AND cast_info.movie_id = movie_companies.movie_id  |((((((aka_name AS akaname name) cast_info AS castinfo) role_type AS roletype) title) movie_companies AS moviecompanies) company_name AS companyname)|57|1255262418.6|0.0580441951751709
88|SELECT * FROM aka_name, char_name, cast_info, company_name, movie_companies, name, role_type, title WHERE cast_info.movie_id = title.id AND title.id = movie_companies.movie_id AND cast_info.movie_id = movie_companies.movie_id AND movie_companies.company_id = company_name.id AND cast_info.role_id = role_type.id AND name.id = cast_info.person_id AND char_name.id = cast_info.person_role_id AND aka_name.person_id = name.id AND aka_name.person_id = cast_info.person_id  |(((((((aka_name AS akaname name) cast_info AS castinfo) char_name AS charname) role_type AS roletype) title) movie_companies AS moviecompanies) company_name AS companyname)|77|880826755.6|0.09046459197998047
89|SELECT * FROM aka_name, char_name, cast_info, company_name, info_type, keyword, movie_companies, movie_info, movie_keyword, name, role_type, title WHERE title.id = movie_info.movie_id AND title.id = movie_companies.movie_id AND title.id = cast_info.movie_id AND title.id = movie_keyword.movie_id AND movie_companies.movie_id = cast_info.movie_id AND movie_companies.movie_id = movie_info.movie_id AND movie_companies.movie_id = movie_keyword.movie_id AND movie_info.movie_id = cast_info.movie_id AND movie_info.movie_id = movie_keyword.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND company_name.id = movie_companies.company_id AND info_type.id = movie_info.info_type_id AND name.id = cast_info.person_id AND role_type.id = cast_info.role_id AND name.id = aka_name.person_id AND cast_info.person_id = aka_name.person_id AND char_name.id = cast_info.person_role_id AND keyword.id = movie_keyword.keyword_id  |(((((((((((info_type AS infotype role_type AS roletype) cast_info AS castinfo) char_name AS charname) movie_info AS movieinfo) name) aka_name AS akaname) title) movie_companies AS moviecompanies) company_name AS companyname) movie_keyword AS moviekeyword) keyword)|187|38607463466.2|0.326981782913208
90|SELECT * FROM cast_info, keyword, movie_keyword, name, title WHERE keyword.id = movie_keyword.keyword_id AND title.id = movie_keyword.movie_id AND title.id = cast_info.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND name.id = cast_info.person_id  |((((keyword movie_keyword AS moviekeyword) title) cast_info AS castinfo) name)|26|219818823.4|0.02152085304260254
91|SELECT * FROM company_type, info_type, movie_companies, movie_info, title WHERE title.id = movie_info.movie_id AND title.id = movie_companies.movie_id AND movie_companies.movie_id = movie_info.movie_id AND company_type.id = movie_companies.company_type_id AND info_type.id = movie_info.info_type_id  |((((company_type AS companytype info_type AS infotype) movie_companies AS moviecompanies) movie_info AS movieinfo) title)|26|1283187767.2|0.023253679275512695
92|SELECT * FROM company_name, keyword, movie_companies, movie_keyword, title WHERE company_name.id = movie_companies.company_id AND movie_companies.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND movie_companies.movie_id = movie_keyword.movie_id  |((((company_name AS companyname movie_companies AS moviecompanies) title) movie_keyword AS moviekeyword) keyword)|26|25987470.2|0.02360057830810547
93|SELECT * FROM info_type, info_type AS info_type2, keyword, kind_type, movie_info, movie_info_idx, movie_keyword, title WHERE kind_type.id = title.kind_id AND title.id = movie_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = movie_info_idx.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND keyword.id = movie_keyword.keyword_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id  |((((((info_type AS infotype kind_type AS kindtype) title) movie_info AS movieinfo) movie_keyword AS moviekeyword) keyword) movie_info_idx AS movieinfoidx)|57|1460080488.4|0.06505322456359863
94|SELECT * FROM keyword, link_type, movie_keyword, movie_link, title, title AS title2 WHERE movie_keyword.keyword_id = keyword.id AND title.id = movie_keyword.movie_id AND movie_link.movie_id = title.id AND movie_link.linked_movie_id = title2.id AND link_type.id = movie_link.link_type_id AND movie_keyword.movie_id = title.id  |((((link_type AS linktype movie_link AS movielink) title) movie_keyword AS moviekeyword) keyword)|26|342945798.0|0.02575826644897461
95|SELECT * FROM char_name, cast_info, company_name, company_type, movie_companies, role_type, title WHERE title.id = movie_companies.movie_id AND title.id = cast_info.movie_id AND cast_info.movie_id = movie_companies.movie_id AND char_name.id = cast_info.person_role_id AND role_type.id = cast_info.role_id AND company_name.id = movie_companies.company_id AND company_type.id = movie_companies.company_type_id |((((((company_type AS companytype role_type AS roletype) movie_companies AS moviecompanies) cast_info AS castinfo) char_name AS charname) company_name AS companyname) title)|57|7367744166.0|0.06051516532897949
96|SELECT * FROM company_name, keyword, movie_companies, movie_keyword, title WHERE company_name.id = movie_companies.company_id AND movie_companies.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND movie_companies.movie_id = movie_keyword.movie_id  |((((company_name AS companyname movie_companies AS moviecompanies) title) movie_keyword AS moviekeyword) keyword)|26|25987470.2|0.02377772331237793
97|SELECT * FROM company_name, company_type, keyword, link_type, movie_companies, movie_keyword, movie_link, title WHERE link_type.id = movie_link.link_type_id AND movie_link.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND title.id = movie_companies.movie_id AND movie_companies.company_type_id = company_type.id AND movie_companies.company_id = company_name.id AND movie_link.movie_id = movie_keyword.movie_id AND movie_link.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = movie_companies.movie_id  |(((((((company_type AS companytype link_type AS linktype) movie_link AS movielink) movie_companies AS moviecompanies) company_name AS companyname) title) movie_keyword AS moviekeyword) keyword)|77|5610148600.0|0.09581446647644043
98|SELECT * FROM company_name, company_type, info_type, info_type AS info_type2, keyword, kind_type, movie_companies, movie_info, movie_info_idx, movie_keyword, title WHERE kind_type.id = title.kind_id AND title.id = movie_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = movie_info_idx.movie_id AND title.id = movie_companies.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_info_idx.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_companies.movie_id AND movie_companies.movie_id = movie_info_idx.movie_id AND keyword.id = movie_keyword.keyword_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id AND company_type.id = movie_companies.company_type_id AND company_name.id = movie_companies.company_id  |(((((((((company_type AS companytype info_type AS infotype) kind_type AS kindtype) title) movie_companies AS moviecompanies) company_name AS companyname) movie_info AS movieinfo) movie_keyword AS moviekeyword) keyword) movie_info_idx AS movieinfoidx)|126|745633960994.8|0.20743155479431152
99|SELECT * FROM aka_name, char_name, cast_info, company_name, movie_companies, name, role_type, title WHERE cast_info.movie_id = title.id AND title.id = movie_companies.movie_id AND cast_info.movie_id = movie_companies.movie_id AND movie_companies.company_id = company_name.id AND cast_info.role_id = role_type.id AND name.id = cast_info.person_id AND char_name.id = cast_info.person_role_id AND aka_name.person_id = name.id AND aka_name.person_id = cast_info.person_id  |(((((((aka_name AS akaname name) cast_info AS castinfo) char_name AS charname) role_type AS roletype) title) movie_companies AS moviecompanies) company_name AS companyname)|77|880826755.6|0.10529232025146484
100|SELECT * FROM aka_name, cast_info, company_name, movie_companies, name, role_type, title WHERE aka_name.person_id = name.id AND name.id = cast_info.person_id AND cast_info.movie_id = title.id AND title.id = movie_companies.movie_id AND movie_companies.company_id = company_name.id AND cast_info.role_id = role_type.id AND aka_name.person_id = cast_info.person_id AND cast_info.movie_id = movie_companies.movie_id  |((((((aka_name AS akaname name) cast_info AS castinfo) role_type AS roletype) title) movie_companies AS moviecompanies) company_name AS companyname)|57|1255262418.6|0.05916261672973633
101|SELECT * FROM complete_cast, comp_cast_type, comp_cast_type AS comp_cast_type2, char_name, cast_info, info_type, keyword, kind_type, movie_info_idx, movie_keyword, name, title WHERE kind_type.id = title.kind_id AND title.id = movie_keyword.movie_id AND title.id = cast_info.movie_id AND title.id = complete_cast.movie_id AND title.id = movie_info_idx.movie_id AND movie_keyword.movie_id = cast_info.movie_id AND movie_keyword.movie_id = complete_cast.movie_id AND movie_keyword.movie_id = movie_info_idx.movie_id AND cast_info.movie_id = complete_cast.movie_id AND cast_info.movie_id = movie_info_idx.movie_id AND complete_cast.movie_id = movie_info_idx.movie_id AND char_name.id = cast_info.person_role_id AND name.id = cast_info.person_id AND keyword.id = movie_keyword.keyword_id AND comp_cast_type.id = complete_cast.subject_id AND comp_cast_type2.id = complete_cast.status_id AND info_type.id = movie_info_idx.info_type_id  |((((((((((comp_cast_type AS compcasttype info_type AS infotype) complete_cast AS completecast) movie_info_idx AS movieinfoidx) title) kind_type AS kindtype) cast_info AS castinfo) char_name AS charname) name) movie_keyword AS moviekeyword) keyword)|155|15973698140.2|0.25218844413757324
102|SELECT * FROM aka_name, cast_info, company_name, keyword, movie_companies, movie_keyword, name, title WHERE aka_name.person_id = name.id AND name.id = cast_info.person_id AND cast_info.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND title.id = movie_companies.movie_id AND movie_companies.company_id = company_name.id AND aka_name.person_id = cast_info.person_id AND cast_info.movie_id = movie_companies.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND movie_companies.movie_id = movie_keyword.movie_id  |(((((((aka_name AS akaname name) cast_info AS castinfo) title) movie_companies AS moviecompanies) company_name AS companyname) movie_keyword AS moviekeyword) keyword)|77|4099780617.6|0.0888221263885498
103|SELECT * FROM company_name, company_type, keyword, link_type, movie_companies, movie_keyword, movie_link, title WHERE link_type.id = movie_link.link_type_id AND movie_link.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND title.id = movie_companies.movie_id AND movie_companies.company_type_id = company_type.id AND movie_companies.company_id = company_name.id AND movie_link.movie_id = movie_keyword.movie_id AND movie_link.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = movie_companies.movie_id  |(((((((company_type AS companytype link_type AS linktype) movie_link AS movielink) movie_companies AS moviecompanies) company_name AS companyname) title) movie_keyword AS moviekeyword) keyword)|77|5610148600.0|0.08797645568847656
104|SELECT * FROM cast_info, keyword, movie_keyword, name, title WHERE keyword.id = movie_keyword.keyword_id AND title.id = movie_keyword.movie_id AND title.id = cast_info.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND name.id = cast_info.person_id  |((((keyword movie_keyword AS moviekeyword) title) cast_info AS castinfo) name)|26|219818823.4|0.023370027542114258
105|SELECT * FROM aka_title, company_name, company_type, info_type, keyword, movie_companies, movie_info, movie_keyword, title WHERE title.id = aka_title.movie_id AND title.id = movie_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = movie_companies.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = aka_title.movie_id AND movie_info.movie_id = movie_companies.movie_id AND movie_info.movie_id = aka_title.movie_id AND movie_companies.movie_id = aka_title.movie_id AND keyword.id = movie_keyword.keyword_id AND info_type.id = movie_info.info_type_id AND company_name.id = movie_companies.company_id AND company_type.id = movie_companies.company_type_id  |((((((((company_type AS companytype info_type AS infotype) movie_companies AS moviecompanies) aka_title AS akatitle) company_name AS companyname) movie_info AS movieinfo) title) movie_keyword AS moviekeyword) keyword)|100|3423896806.2|0.13641977310180664
106|SELECT * FROM aka_name, char_name, cast_info, company_name, info_type, movie_companies, movie_info, name, role_type, title WHERE title.id = movie_info.movie_id AND title.id = movie_companies.movie_id AND title.id = cast_info.movie_id AND movie_companies.movie_id = cast_info.movie_id AND movie_companies.movie_id = movie_info.movie_id AND movie_info.movie_id = cast_info.movie_id AND company_name.id = movie_companies.company_id AND info_type.id = movie_info.info_type_id AND name.id = cast_info.person_id AND role_type.id = cast_info.role_id AND name.id = aka_name.person_id AND cast_info.person_id = aka_name.person_id AND char_name.id = cast_info.person_role_id  |(((((((((info_type AS infotype role_type AS roletype) cast_info AS castinfo) char_name AS charname) movie_info AS movieinfo) name) aka_name AS akaname) title) movie_companies AS moviecompanies) company_name AS companyname)|126|20274299956.2|0.1729259490966797
107|SELECT * FROM company_name, company_type, info_type, info_type AS info_type2, kind_type, movie_companies, movie_info, movie_info_idx, title WHERE movie_info.movie_id = title.id AND info_type2.id = movie_info.info_type_id AND kind_type.id = title.kind_id AND movie_companies.movie_id = title.id AND company_name.id = movie_companies.company_id AND company_type.id = movie_companies.company_type_id AND movie_info_idx.movie_id = title.id AND info_type.id = movie_info_idx.info_type_id AND movie_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_companies.movie_id AND movie_info_idx.movie_id = movie_companies.movie_id  |(((((((company_type AS companytype info_type AS infotype) kind_type AS kindtype) title) movie_info_idx AS movieinfoidx) movie_companies AS moviecompanies) company_name AS companyname) movie_info AS movieinfo)|77|416341802327.8|0.09400057792663574
